filename,width,height,class,xmin,ymin,xmax,ymax
00000030.jpg,1140,797,skin,266,590,385,710
00000030.jpg,1140,797,skin,182,317,310,384
00000030.jpg,1140,797,skin,316,96,487,250
00000030.jpg,1140,797,skin,458,169,664,433
00000030.jpg,1140,797,skin,306,442,527,557
00000030.jpg,1140,797,wrestlers,60,39,1140,737
00000031.jpg,1280,720,skin,874,474,990,708
00000031.jpg,1280,720,skin,151,297,465,565
00000031.jpg,1280,720,skin,259,576,368,720
00000031.jpg,1280,720,skin,516,608,651,719
00000031.jpg,1280,720,skin,515,278,668,451
00000031.jpg,1280,720,skin,688,567,801,718
00000032.jpg,480,360,skin,343,88,410,154
00000032.jpg,480,360,skin,320,251,377,358
00000032.jpg,480,360,skin,248,250,305,281
00000032.jpg,480,360,skin,261,340,288,359
00000032.jpg,480,360,skin,290,84,321,118
00000032.jpg,480,360,skin,247,82,272,177
00000032.jpg,480,360,skin,280,43,306,83
00000036.jpg,850,513,skin,257,220,389,329
00000036.jpg,850,513,skin,306,334,390,438
00000036.jpg,850,513,skin,408,372,590,441
00000036.jpg,850,513,skin,678,226,780,334
00000036.jpg,850,513,skin,394,133,447,348
00000036.jpg,850,513,skin,28,233,171,403
00000037.jpg,1500,1000,referee,121,209,453,964
00000037.jpg,1500,1000,skin,820,782,933,995
00000037.jpg,1500,1000,skin,710,792,806,1000
00000037.jpg,1500,1000,skin,848,270,982,452
00000037.jpg,1500,1000,skin,732,234,808,336
00000037.jpg,1500,1000,skin,532,320,727,442
00000037.jpg,1500,1000,skin,917,64,1014,304
00000037.jpg,1500,1000,skin,752,340,819,433
00000037.jpg,1500,1000,skin,530,163,600,303
00000038.jpg,3456,2304,skin,1009,1363,1422,1694
00000038.jpg,3456,2304,skin,1169,1171,2397,1514
00000038.jpg,3456,2304,skin,2354,1218,2906,2051
00000038.jpg,3456,2304,skin,2078,730,2442,1154
00000039.jpg,640,452,skin,323,257,416,345
00000039.jpg,640,452,skin,92,86,179,154
00000039.jpg,640,452,skin,26,144,97,260
00000039.jpg,640,452,skin,47,192,137,352
00000039.jpg,640,452,skin,491,226,523,302
00000039.jpg,640,452,skin,196,54,281,190
00000039.jpg,640,452,skin,222,268,276,314
00000039.jpg,640,452,skin,279,154,322,257
00000040.jpg,1200,1258,skin,840,309,990,476
00000040.jpg,1200,1258,skin,651,990,890,1225
00000040.jpg,1200,1258,skin,934,991,1130,1168
00000040.jpg,1200,1258,skin,405,370,725,549
00000040.jpg,1200,1258,skin,381,287,496,394
00000040.jpg,1200,1258,skin,62,386,371,603
00000040.jpg,1200,1258,skin,730,500,927,742
00000042.jpg,1600,900,skin,589,96,766,222
00000042.jpg,1600,900,skin,834,212,979,373
00000042.jpg,1600,900,skin,612,622,828,797
00000042.jpg,1600,900,skin,470,815,854,877
00000042.jpg,1600,900,skin,1045,665,1213,885
00000042.jpg,1600,900,skin,77,708,382,853
00000042.jpg,1600,900,skin,371,700,487,782
00000042.jpg,1600,900,skin,646,399,890,587
00000042.jpg,1600,900,skin,1496,637,1597,844
00000043.jpg,1920,1281,skin,875,343,1196,552
00000043.jpg,1920,1281,skin,1342,382,1465,565
00000043.jpg,1920,1281,skin,1232,727,1500,920
00000043.jpg,1920,1281,skin,575,630,817,847
00000043.jpg,1920,1281,skin,686,834,984,995
00000043.jpg,1920,1281,skin,1343,580,1536,722
00000043.jpg,1920,1281,skin,1500,746,1668,961
00000043.jpg,1920,1281,wrestlers,58,45,1895,1269
00000044.jpg,1280,720,skin,601,185,672,252
00000044.jpg,1280,720,skin,675,237,857,313
00000044.jpg,1280,720,skin,533,496,585,562
00000044.jpg,1280,720,skin,562,660,604,711
00000044.jpg,1280,720,skin,553,47,607,129
00000044.jpg,1280,720,skin,518,136,604,197
00000044.jpg,1280,720,skin,367,243,489,295
00000044.jpg,1280,720,wrestler,373,18,772,720
00000045.jpg,864,511,skin,255,130,353,286
00000045.jpg,864,511,skin,208,296,336,507
00000045.jpg,864,511,skin,473,300,538,508
00000045.jpg,864,511,skin,384,135,465,274
00000045.jpg,864,511,skin,428,68,513,165
00000051.jpg,5403,3646,referee,535,704,1754,3609
00000051.jpg,5403,3646,skin,2021,1760,2542,2993
00000051.jpg,5403,3646,skin,2510,1469,2968,1883
00000051.jpg,5403,3646,skin,2670,2074,3186,2674
00000051.jpg,5403,3646,skin,2065,751,2438,1786
00000051.jpg,5403,3646,skin,2221,183,2631,699
00000054.jpg,800,450,skin,198,188,266,273
00000054.jpg,800,450,skin,158,287,196,359
00000054.jpg,800,450,skin,169,58,199,149
00000054.jpg,800,450,skin,303,19,333,59
00000054.jpg,800,450,skin,383,89,460,146
00000054.jpg,800,450,skin,373,143,451,223
00000054.jpg,800,450,skin,536,235,584,283
00000054.jpg,800,450,skin,595,274,672,341
00000054.jpg,800,450,wrestlers,120,4,757,450
00000056.jpg,800,534,skin,245,217,306,284
00000056.jpg,800,534,skin,424,270,458,465
00000056.jpg,800,534,skin,292,418,468,493
00000056.jpg,800,534,skin,588,341,705,462
00000056.jpg,800,534,skin,485,222,594,345
00000056.jpg,800,534,skin,147,270,237,445
00000056.jpg,800,534,skin,483,146,543,217
00000061.jpg,800,534,wrestlers,167,66,717,505
00000061.jpg,800,534,skin,470,227,504,266
00000061.jpg,800,534,skin,518,276,556,324
00000061.jpg,800,534,skin,562,285,621,343
00000061.jpg,800,534,skin,624,353,686,432
00000061.jpg,800,534,skin,176,251,233,369
00000061.jpg,800,534,skin,257,286,308,372
00000061.jpg,800,534,skin,239,131,349,184
00000061.jpg,800,534,skin,378,203,418,222
00000061.jpg,800,534,skin,322,187,372,211
00000063.jpg,1080,719,skin,637,272,761,428
00000063.jpg,1080,719,skin,648,125,764,240
00000063.jpg,1080,719,skin,817,314,990,719
00000063.jpg,1080,719,skin,446,300,591,719
00000063.jpg,1080,719,wrestler,526,9,986,719
00000063.jpg,1080,719,referee,990,232,1072,708
00000064.jpg,1400,1400,skin,167,338,262,450
00000064.jpg,1400,1400,skin,142,480,306,624
00000064.jpg,1400,1400,skin,329,546,504,984
00000064.jpg,1400,1400,skin,1,499,106,642
00000064.jpg,1400,1400,skin,1165,263,1288,404
00000064.jpg,1400,1400,referee,591,250,952,1400
00000064.jpg,1400,1400,skin,1255,1093,1382,1400
00000064.jpg,1400,1400,skin,993,1081,1197,1371
00000064.jpg,1400,1400,skin,1178,445,1275,580
00000064.jpg,1400,1400,skin,1313,450,1400,649
00000064.jpg,1400,1400,skin,928,352,1157,553
00000067.jpg,1200,675,skin,524,65,619,205
00000067.jpg,1200,675,skin,469,224,598,405
00000067.jpg,1200,675,skin,247,257,420,646
00000067.jpg,1200,675,skin,633,289,751,493
00000067.jpg,1200,675,referee,1,292,191,661
00000068.jpg,1085,525,skin,409,248,510,321
00000068.jpg,1085,525,skin,427,91,524,151
00000068.jpg,1085,525,skin,240,385,297,477
00000068.jpg,1085,525,skin,610,375,676,501
00000068.jpg,1085,525,skin,702,260,772,431
00000068.jpg,1085,525,skin,495,36,669,114
00000069.jpg,1600,900,skin,1102,163,1322,333
00000069.jpg,1600,900,skin,1107,528,1284,675
00000069.jpg,1600,900,skin,139,164,359,405
00000069.jpg,1600,900,skin,615,117,964,402
00000069.jpg,1600,900,skin,726,368,954,695
00000069.jpg,1600,900,skin,113,500,377,728
00000069.jpg,1600,900,skin,1257,600,1402,805
00000070.jpg,1085,520,skin,192,154,280,243
00000070.jpg,1085,520,skin,338,287,430,434
00000070.jpg,1085,520,skin,363,265,534,337
00000070.jpg,1085,520,skin,12,295,183,378
00000070.jpg,1085,520,skin,10,80,54,335
00000070.jpg,1085,520,skin,435,45,525,248
00000070.jpg,1085,520,skin,673,186,789,299
00000070.jpg,1085,520,skin,936,312,1006,390
00000070.jpg,1085,520,skin,659,433,763,502
00000070.jpg,1085,520,skin,572,127,625,198
00000070.jpg,1085,520,skin,712,88,757,162
00000070.jpg,1085,520,wrestlers,571,42,1066,518
00000071.jpg,4000,5348,referee,79,2185,643,3646
00000071.jpg,4000,5348,referee,3179,1337,3609,2646
00000071.jpg,4000,5348,referee,112,826,551,1846
00000071.jpg,4000,5348,referee,2276,260,2670,1257
00000071.jpg,4000,5348,referee,1,49,390,812
00000071.jpg,4000,5348,wrestlers,1087,3946,2470,4957
00000071.jpg,4000,5348,wrestlers,1648,1829,2426,2360
00000071.jpg,4000,5348,wrestlers,962,293,2062,954
00000073.jpg,3210,1805,referee,121,13,1161,1071
00000073.jpg,3210,1805,skin,775,1488,1028,1673
00000073.jpg,3210,1805,skin,1135,1624,1348,1805
00000073.jpg,3210,1805,skin,376,1473,678,1788
00000073.jpg,3210,1805,skin,2130,421,2232,721
00000073.jpg,3210,1805,skin,1530,727,1808,1093
00000073.jpg,3210,1805,skin,2132,775,2447,1088
00000073.jpg,3210,1805,skin,2437,1032,3069,1239
00000073.jpg,3210,1805,skin,1774,1620,2111,1805
00000073.jpg,3210,1805,skin,1710,1041,1957,1223
00000073.jpg,3210,1805,skin,1846,681,2055,995
00000074.jpg,920,565,wrestler,358,80,554,511
00000074.jpg,920,565,wrestler,697,76,911,553
00000074.jpg,920,565,skin,418,314,467,432
00000074.jpg,920,565,skin,526,125,550,157
00000074.jpg,920,565,skin,408,144,470,243
00000074.jpg,920,565,skin,737,153,805,223
00000074.jpg,920,565,skin,765,366,829,508
00000074.jpg,920,565,skin,492,154,520,212
00000075.jpg,710,425,skin,284,83,333,140
00000075.jpg,710,425,skin,282,148,358,230
00000075.jpg,710,425,skin,386,143,463,213
00000075.jpg,710,425,skin,448,198,497,351
00000075.jpg,710,425,skin,228,145,269,302
00000075.jpg,710,425,skin,119,101,192,182
00000075.jpg,710,425,skin,192,193,226,295
00000075.jpg,710,425,skin,56,322,144,418
00000075.jpg,710,425,skin,351,358,407,414
00000076.jpg,1440,1080,skin,581,445,669,531
00000076.jpg,1440,1080,skin,615,551,710,688
00000076.jpg,1440,1080,skin,733,574,855,729
00000076.jpg,1440,1080,skin,831,735,895,1039
00000077.jpg,1280,720,skin,522,551,639,619
00000077.jpg,1280,720,skin,894,288,977,374
00000077.jpg,1280,720,skin,721,178,858,288
00000077.jpg,1280,720,skin,704,596,895,675
00000077.jpg,1280,720,skin,893,559,1041,649
00000077.jpg,1280,720,skin,605,238,716,464
00000077.jpg,1280,720,skin,704,118,756,221
00000077.jpg,1280,720,skin,1065,583,1235,667
00000077.jpg,1280,720,wrestlers,62,58,1267,715
00000079.jpg,960,720,referee,27,72,298,667
00000079.jpg,960,720,skin,331,273,546,371
00000079.jpg,960,720,skin,565,237,704,391
00000079.jpg,960,720,skin,442,273,555,468
00000079.jpg,960,720,skin,731,285,850,504
00000079.jpg,960,720,skin,589,100,698,226
00000079.jpg,960,720,skin,320,49,382,362
00000080.jpg,1280,720,skin,591,265,658,401
00000080.jpg,1280,720,skin,558,391,656,564
00000080.jpg,1280,720,skin,389,378,507,604
00000080.jpg,1280,720,skin,246,113,326,360
00000080.jpg,1280,720,skin,701,454,879,543
00000081.jpg,629,512,skin,133,290,196,362
00000081.jpg,629,512,skin,224,352,275,375
00000081.jpg,629,512,skin,394,256,490,414
00000081.jpg,629,512,skin,453,160,508,204
00000081.jpg,629,512,skin,489,76,527,159
00000081.jpg,629,512,skin,95,363,135,493
00000081.jpg,629,512,skin,256,272,378,333
00000081.jpg,629,512,wrestlers,42,25,609,500
00000083.jpg,1000,667,wrestler,43,52,532,609
00000083.jpg,1000,667,wrestler,580,47,975,659
00000083.jpg,1000,667,skin,340,289,445,495
00000083.jpg,1000,667,skin,205,315,254,392
00000083.jpg,1000,667,skin,119,446,140,486
00000083.jpg,1000,667,skin,688,344,770,441
00000083.jpg,1000,667,skin,671,482,742,552
00000083.jpg,1000,667,skin,823,455,888,516
00000083.jpg,1000,667,skin,630,151,726,234
00000083.jpg,1000,667,skin,471,97,511,151
00000083.jpg,1000,667,skin,614,179,670,317
00000083.jpg,1000,667,skin,328,107,404,189
00000083.jpg,1000,667,skin,337,204,450,233
00000085.jpg,960,720,skin,421,502,562,625
00000085.jpg,960,720,skin,247,387,613,441
00000085.jpg,960,720,skin,333,126,488,262
00000085.jpg,960,720,skin,669,127,727,234
00000085.jpg,960,720,skin,581,257,648,499
00000085.jpg,960,720,skin,508,156,590,305
00000087.jpg,3600,2400,skin,42,1331,528,1981
00000087.jpg,3600,2400,skin,19,2004,736,2303
00000087.jpg,3600,2400,skin,1817,1439,2525,1817
00000087.jpg,3600,2400,skin,1109,734,1842,1258
00000087.jpg,3600,2400,skin,1983,845,2367,1215
00000087.jpg,3600,2400,skin,2623,1375,2933,1611
00000087.jpg,3600,2400,skin,2556,1673,3086,2136
00000089.jpg,3000,2000,wrestlers,50,102,2985,2000
00000089.jpg,3000,2000,skin,1291,496,1990,792
00000089.jpg,3000,2000,skin,2257,868,2634,1171
00000089.jpg,3000,2000,skin,1855,907,2242,1079
00000089.jpg,3000,2000,skin,1463,1268,1830,1703
00000089.jpg,3000,2000,skin,1082,1084,1405,1433
00000089.jpg,3000,2000,skin,2381,1231,2959,1588
00000089.jpg,3000,2000,skin,724,662,1104,1109
00000089.jpg,3000,2000,skin,157,1054,638,1389
00000089.jpg,3000,2000,skin,608,1163,1020,1650
00000089.jpg,3000,2000,skin,1891,1320,2134,1693
00000090.jpg,1660,934,referees,49,250,248,888
00000090.jpg,1660,934,referees,1333,1,1488,441
00000090.jpg,1660,934,wrestlers,662,93,998,331
00000091.jpg,600,785,skin,206,251,310,342
00000091.jpg,600,785,skin,323,123,395,218
00000091.jpg,600,785,skin,142,215,228,401
00000091.jpg,600,785,skin,158,364,352,407
00000091.jpg,600,785,skin,286,416,388,575
00000091.jpg,600,785,skin,83,402,162,599
00000091.jpg,600,785,skin,182,421,237,554
00000091.jpg,600,785,skin,403,548,517,768
00000091.jpg,600,785,skin,405,253,510,535
00000092.jpg,200,133,wrestlers,39,22,180,133
00000092.jpg,200,133,skin,80,54,101,126
00000092.jpg,200,133,skin,118,53,156,121
00000092.jpg,200,133,skin,51,43,80,81
00000092.jpg,200,133,skin,53,94,77,122
00000093.jpg,900,599,skin,230,451,322,549
00000093.jpg,900,599,skin,237,313,317,422
00000093.jpg,900,599,skin,325,246,471,385
00000093.jpg,900,599,skin,802,403,900,510
00000093.jpg,900,599,skin,231,149,309,211
00000093.jpg,900,599,skin,373,50,580,236
00000093.jpg,900,599,skin,761,282,900,375
00000093.jpg,900,599,skin,186,215,228,321
00000094.jpg,1200,914,referee,226,168,558,914
00000094.jpg,1200,914,skin,695,288,831,481
00000094.jpg,1200,914,skin,380,449,711,604
00000094.jpg,1200,914,skin,600,495,724,749
00000094.jpg,1200,914,skin,759,497,860,631
00000094.jpg,1200,914,skin,836,193,928,503
00000095.jpg,2000,1335,skin,254,664,671,865
00000095.jpg,2000,1335,skin,660,838,1240,1021
00000095.jpg,2000,1335,skin,1317,464,1729,726
00000095.jpg,2000,1335,skin,1398,758,1726,1090
00000095.jpg,2000,1335,skin,963,475,1170,673
00000095.jpg,2000,1335,skin,778,540,942,732
00000095.jpg,2000,1335,skin,141,1224,356,1335
00000095.jpg,2000,1335,skin,1889,1104,1983,1335
00000096.jpg,526,350,skin,195,50,225,96
00000096.jpg,526,350,skin,221,82,256,137
00000096.jpg,526,350,skin,304,194,354,285
00000096.jpg,526,350,skin,211,226,258,271
00000096.jpg,526,350,skin,222,160,265,201
00000096.jpg,526,350,skin,195,98,217,175
00000096.jpg,526,350,skin,266,75,332,136
00000096.jpg,526,350,wrestler,164,19,399,329
00000096.jpg,526,350,skin,43,224,59,290
00000096.jpg,526,350,skin,32,180,73,199
00000096.jpg,526,350,skin,82,58,116,105
00000096.jpg,526,350,skin,98,88,122,206
00000098.jpg,740,432,skin,215,140,301,271
00000098.jpg,740,432,skin,72,156,188,420
00000098.jpg,740,432,referee,526,100,740,430
00000098.jpg,740,432,skin,336,203,473,379
00000098.jpg,740,432,skin,463,15,513,189
00000098.jpg,740,432,skin,77,4,124,158
00000098.jpg,740,432,skin,205,270,288,361
00000099.jpg,920,654,referee,300,98,517,654
00000099.jpg,920,654,wrestler,569,30,880,643
00000099.jpg,920,654,skin,731,541,794,653
00000099.jpg,920,654,skin,648,537,706,654
00000099.jpg,920,654,skin,722,227,773,304
00000099.jpg,920,654,skin,799,272,859,562
00000099.jpg,920,654,skin,590,68,626,238
00000099.jpg,920,654,skin,751,154,814,244
00000099.jpg,920,654,wrestler,19,55,267,654
00000099.jpg,920,654,skin,62,568,154,654
00000099.jpg,920,654,skin,162,563,237,654
00000099.jpg,920,654,skin,7,238,94,426
00000099.jpg,920,654,skin,133,134,193,203
00000099.jpg,920,654,skin,122,210,183,310
00000099.jpg,920,654,skin,211,239,280,385
00000100.jpg,1400,1385,referee,886,265,1364,1385
00000100.jpg,1400,1385,skin,611,412,683,553
00000100.jpg,1400,1385,skin,554,558,679,714
00000100.jpg,1400,1385,skin,422,560,521,745
00000100.jpg,1400,1385,skin,333,776,403,1068
00000100.jpg,1400,1385,skin,470,1120,565,1202
00000100.jpg,1400,1385,skin,571,1152,650,1385
00000100.jpg,1400,1385,skin,682,384,814,660
00000100.jpg,1400,1385,skin,799,133,851,376
00000101.jpg,740,440,skin,293,25,337,104
00000101.jpg,740,440,skin,198,232,257,305
00000101.jpg,740,440,skin,204,59,267,88
00000101.jpg,740,440,skin,225,208,297,232
00000102.jpg,3831,2384,wrestlers,199,112,3295,2100
00000102.jpg,3831,2384,skin,842,1587,1623,1912
00000102.jpg,3831,2384,skin,1813,1558,2580,1915
00000102.jpg,3831,2384,skin,2143,982,2616,1875
00000102.jpg,3831,2384,skin,869,582,1250,918
00000102.jpg,3831,2384,skin,2723,493,2935,755
00000102.jpg,3831,2384,skin,1301,1193,1556,1403
00000102.jpg,3831,2384,skin,654,1302,890,1622
00000102.jpg,3831,2384,skin,1206,857,1945,1300
00000103.jpg,960,720,skin,623,177,715,296
00000103.jpg,960,720,skin,648,363,737,457
00000103.jpg,960,720,skin,636,453,685,571
00000103.jpg,960,720,skin,812,429,924,534
00000103.jpg,960,720,skin,308,433,367,545
00000103.jpg,960,720,skin,241,339,338,412
00000103.jpg,960,720,skin,141,352,187,435
00000103.jpg,960,720,skin,53,431,103,493
00000103.jpg,960,720,skin,252,125,333,236
00000103.jpg,960,720,skin,268,240,455,277
00000103.jpg,960,720,skin,399,96,447,153
00000103.jpg,960,720,wrestler,508,93,946,684
00000103.jpg,960,720,wrestlers,1,43,481,646
00000104.jpg,1024,588,skin,429,225,529,347
00000104.jpg,1024,588,skin,278,278,395,588
00000104.jpg,1024,588,skin,571,276,721,575
00000104.jpg,1024,588,skin,450,126,533,210
00000107.jpg,1500,1000,skin,696,605,812,735
00000107.jpg,1500,1000,skin,840,717,895,822
00000107.jpg,1500,1000,skin,822,561,905,641
00000107.jpg,1500,1000,skin,661,718,772,851
00000107.jpg,1500,1000,skin,600,244,684,485
00000107.jpg,1500,1000,skin,942,403,1048,519
00000107.jpg,1500,1000,skin,574,111,636,211
00000107.jpg,1500,1000,skin,563,278,630,358
00000107.jpg,1500,1000,skin,990,151,1246,270
00000107.jpg,1500,1000,skin,1053,500,1143,634
00000107.jpg,1500,1000,skin,650,240,754,334
00000107.jpg,1500,1000,skin,746,193,818,247
00000107.jpg,1500,1000,wrestlers,443,63,1454,978
00000108.jpg,1200,674,skin,715,145,778,232
00000108.jpg,1200,674,skin,738,244,805,343
00000108.jpg,1200,674,skin,796,640,858,674
00000108.jpg,1200,674,skin,689,614,752,674
00000108.jpg,1200,674,skin,836,280,935,385
00000108.jpg,1200,674,skin,631,231,705,354
00000108.jpg,1200,674,skin,565,62,587,223
00000108.jpg,1200,674,referee,136,36,517,674
00000109.jpg,1200,800,skin,361,295,462,379
00000109.jpg,1200,800,skin,577,221,809,346
00000109.jpg,1200,800,skin,605,569,740,701
00000109.jpg,1200,800,skin,731,573,873,698
00000109.jpg,1200,800,skin,996,589,1154,707
00000109.jpg,1200,800,skin,198,360,363,493
00000109.jpg,1200,800,skin,153,358,231,675
00000109.jpg,1200,800,skin,50,409,160,485
00000109.jpg,1200,800,wrestlers,35,183,1176,768
00000111.jpg,800,450,skin,358,40,423,131
00000111.jpg,800,450,skin,352,139,433,223
00000111.jpg,800,450,referee,55,44,277,450
00000111.jpg,800,450,skin,466,181,565,423
00000111.jpg,800,450,skin,258,181,315,410
00000113.jpg,654,368,skin,317,84,380,159
00000113.jpg,654,368,skin,193,109,297,171
00000113.jpg,654,368,skin,157,254,222,335
00000113.jpg,654,368,skin,328,225,467,265
00000113.jpg,654,368,skin,425,228,465,368
00000113.jpg,654,368,skin,317,297,393,368
00000113.jpg,654,368,skin,417,103,472,165
00000113.jpg,654,368,skin,250,10,346,64
00000113.jpg,654,368,skin,469,326,539,356
00000113.jpg,654,368,wrestlers,55,8,567,368
00000114.jpg,945,630,referee,233,197,396,628
00000114.jpg,945,630,skin,441,204,511,259
00000114.jpg,945,630,skin,452,274,509,340
00000114.jpg,945,630,skin,532,302,611,567
00000114.jpg,945,630,skin,328,240,424,358
00000115.jpg,3000,2000,skin,1292,458,1424,647
00000115.jpg,3000,2000,skin,1459,1119,1656,1379
00000115.jpg,3000,2000,skin,1369,1510,1529,1734
00000115.jpg,3000,2000,skin,1781,1124,1937,1436
00000115.jpg,3000,2000,skin,1865,1397,2156,1625
00000115.jpg,3000,2000,skin,1603,598,1830,1001
00000115.jpg,3000,2000,skin,1448,638,1605,860
00000115.jpg,3000,2000,skin,863,559,1356,764
00000115.jpg,3000,2000,skin,655,485,756,670
00000115.jpg,3000,2000,skin,269,827,776,973
00000115.jpg,3000,2000,skin,251,507,476,906
00000115.jpg,3000,2000,skin,204,470,441,663
00000115.jpg,3000,2000,skin,103,1128,303,1338
00000115.jpg,3000,2000,skin,55,1598,124,1681
00000116.jpg,1000,600,referee,247,289,335,600
00000116.jpg,1000,600,referee,571,133,734,600
00000116.jpg,1000,600,skin,425,127,460,193
00000116.jpg,1000,600,skin,291,52,318,186
00000116.jpg,1000,600,skin,282,157,364,215
